Starting test with 5 requests per second
Time: 2024-08-12T10:08:56+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5009 ms, Worker ID: 50053
Time: 2024-08-12T10:08:56+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5009 ms, Worker ID: 50052
Time: 2024-08-12T10:08:57+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5002 ms, Worker ID: 50053
Time: 2024-08-12T10:08:57+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5000 ms, Worker ID: 50053
Time: 2024-08-12T10:08:57+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:08:57+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:08:57+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:08:58+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50053
Time: 2024-08-12T10:08:58+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50053
Time: 2024-08-12T10:08:58+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50053
Time: 2024-08-12T10:08:58+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5002 ms, Worker ID: 50053
Time: 2024-08-12T10:08:58+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5002 ms, Worker ID: 50052
Time: 2024-08-12T10:08:59+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50053
Time: 2024-08-12T10:08:59+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5012 ms, Worker ID: 50053
Time: 2024-08-12T10:08:59+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:08:59+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:08:59+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:09:00+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
Time: 2024-08-12T10:09:00+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5002 ms, Worker ID: 50053
Time: 2024-08-12T10:09:00+03:30, Request: LoadTest, Response: Processed LoadTest, Latency: 5001 ms, Worker ID: 50052
