Distribution,RPS,E2E Slowdown
Uniform,10,6.509482323232323
Uniform,15,5.544946308724832
Uniform,20,5.612542713567839
Uniform,25,5.698357429718875
Uniform,30,5.782802142618011
Uniform,35,5.875799942346498
Uniform,40,6.001674653215637
Uniform,45,6.113306324555481
Uniform,50,6.223684749232344
Poisson,10,6.304915750915751
Poisson,15,5.6062364696086595
Poisson,20,5.7367638129933205
Poisson,25,6.15889547813195
Poisson,30,6.171425306461666
Poisson,35,6.445903361344538
Poisson,40,6.659764650872818
Poisson,45,6.989404452943587
Poisson,50,7.150577905094034
